timestamp,tx_id,active_power_mw,current_amps
2024-01-01 00:00:00+00:00,brighton_local_33kv_gt2,16.71,296.68
2024-01-01 00:00:00+00:00,brighton_local_33kv_gt1,17.6,297.22
2024-01-01 00:30:00+00:00,brighton_local_33kv_gt1,17.29,291.52
2024-01-01 00:30:00+00:00,brighton_local_33kv_gt2,16.46,290.87
2024-01-01 01:00:00+00:00,brighton_local_33kv_gt1,16.98,285.82
2024-01-01 01:00:00+00:00,brighton_local_33kv_gt2,16.2,285.06
2024-01-01 01:30:00+00:00,brighton_local_33kv_gt1,16.67,280.12
2024-01-01 01:30:00+00:00,brighton_local_33kv_gt2,15.95,279.25
2024-01-01 02:00:00+00:00,brighton_local_33kv_gt1,16.36,274.42
2024-01-01 02:00:00+00:00,brighton_local_33kv_gt2,15.7,273.44
2024-01-01 02:30:00+00:00,brighton_local_33kv_gt2,15.44,267.63
2024-01-01 02:30:00+00:00,brighton_local_33kv_gt1,16.05,268.72
2024-01-01 03:00:00+00:00,brighton_local_33kv_gt1,15.74,263.02
2024-01-01 03:00:00+00:00,brighton_local_33kv_gt2,15.19,261.82
2024-01-01 03:30:00+00:00,brighton_local_33kv_gt2,14.93,256.2
2024-01-01 03:30:00+00:00,brighton_local_33kv_gt1,15.44,257.33
2024-01-01 04:00:00+00:00,brighton_local_33kv_gt1,15.44,256.11
2024-01-01 04:00:00+00:00,brighton_local_33kv_gt2,14.71,256.06
2024-01-01 04:30:00+00:00,brighton_local_33kv_gt1,15.59,258.59
2024-01-01 04:30:00+00:00,brighton_local_33kv_gt2,14.81,258.44
2024-01-01 05:00:00+00:00,brighton_local_33kv_gt1,15.73,261.07
2024-01-01 05:00:00+00:00,brighton_local_33kv_gt2,15.01,260.82
2024-01-01 05:30:00+00:00,brighton_local_33kv_gt2,15.21,263.2
2024-01-01 05:30:00+00:00,brighton_local_33kv_gt1,15.88,263.55
2024-01-01 06:00:00+00:00,brighton_local_33kv_gt2,15.41,265.58
2024-01-01 06:00:00+00:00,brighton_local_33kv_gt1,16.02,266.03
2024-01-01 06:30:00+00:00,brighton_local_33kv_gt1,16.17,268.51
2024-01-01 06:30:00+00:00,brighton_local_33kv_gt2,15.61,267.96
2024-01-01 07:00:00+00:00,brighton_local_33kv_gt2,15.93,272.08
2024-01-01 07:00:00+00:00,brighton_local_33kv_gt1,16.31,273.12
2024-01-01 07:30:00+00:00,brighton_local_33kv_gt2,16.58,282.19
2024-01-01 07:30:00+00:00,brighton_local_33kv_gt1,16.54,283.05
2024-01-01 08:00:00+00:00,brighton_local_33kv_gt2,17.23,292.8
2024-01-01 08:00:00+00:00,brighton_local_33kv_gt1,17.24,293.23
2024-01-01 08:30:00+00:00,brighton_local_33kv_gt1,18.0,303.4
2024-01-01 08:30:00+00:00,brighton_local_33kv_gt2,17.89,303.41
2024-01-01 09:00:00+00:00,brighton_local_33kv_gt1,18.82,313.79
2024-01-01 09:00:00+00:00,brighton_local_33kv_gt2,18.55,314.04
2024-01-01 09:30:00+00:00,brighton_local_33kv_gt2,19.21,328.27
2024-01-01 09:30:00+00:00,brighton_local_33kv_gt1,19.84,335.63
2024-01-01 10:00:00+00:00,brighton_local_33kv_gt1,20.84,345.7
2024-01-01 10:00:00+00:00,brighton_local_33kv_gt2,19.86,344.99
2024-01-01 10:30:00+00:00,brighton_local_33kv_gt1,21.35,354.77
2024-01-01 10:30:00+00:00,brighton_local_33kv_gt2,20.52,355.86
2024-01-01 11:00:00+00:00,brighton_local_33kv_gt1,21.71,363.83
2024-01-01 11:00:00+00:00,brighton_local_33kv_gt2,21.18,363.74
2024-01-01 11:30:00+00:00,brighton_local_33kv_gt2,21.68,371.61
2024-01-01 11:30:00+00:00,brighton_local_33kv_gt1,22.08,372.9
2024-01-01 12:00:00+00:00,brighton_local_33kv_gt2,21.71,379.47
2024-01-01 12:00:00+00:00,brighton_local_33kv_gt1,22.9,381.5
2024-01-01 12:30:00+00:00,brighton_local_33kv_gt1,23.46,386.5
2024-01-01 12:30:00+00:00,brighton_local_33kv_gt2,21.71,382.91
2024-01-01 13:00:00+00:00,brighton_local_33kv_gt2,21.71,382.91
2024-01-01 13:00:00+00:00,brighton_local_33kv_gt1,23.65,390.75
2024-01-01 13:30:00+00:00,brighton_local_33kv_gt1,23.84,395.0
2024-01-01 13:30:00+00:00,brighton_local_33kv_gt2,21.71,382.91
2024-01-01 14:00:00+00:00,brighton_local_33kv_gt2,21.71,382.91
2024-01-01 14:00:00+00:00,brighton_local_33kv_gt1,24.04,399.25
2024-01-01 14:30:00+00:00,brighton_local_33kv_gt1,24.23,403.5
2024-01-01 14:30:00+00:00,brighton_local_33kv_gt2,21.71,382.91
2024-01-01 15:00:00+00:00,brighton_local_33kv_gt2,21.71,382.91
2024-01-01 15:00:00+00:00,brighton_local_33kv_gt1,24.41,407.75
2024-01-01 15:30:00+00:00,brighton_local_33kv_gt1,24.47,411.99
2024-01-01 15:30:00+00:00,brighton_local_33kv_gt2,21.71,382.91
2024-01-01 16:00:00+00:00,brighton_local_33kv_gt2,21.71,382.91
2024-01-01 16:00:00+00:00,brighton_local_33kv_gt1,24.47,414.86
2024-01-01 16:30:00+00:00,brighton_local_33kv_gt1,,414.95
2024-01-01 17:00:00+00:00,brighton_local_33kv_gt1,25.67,423.78
2024-01-01 17:00:00+00:00,brighton_local_33kv_gt2,24.33,417.55
2024-01-01 17:30:00+00:00,brighton_local_33kv_gt2,24.06,411.72
2024-01-01 17:30:00+00:00,brighton_local_33kv_gt1,25.38,417.92
2024-01-01 18:00:00+00:00,brighton_local_33kv_gt1,25.09,411.96
2024-01-01 18:00:00+00:00,brighton_local_33kv_gt2,23.78,405.8
2024-01-01 18:30:00+00:00,brighton_local_33kv_gt2,23.49,399.88
2024-01-01 18:30:00+00:00,brighton_local_33kv_gt1,24.8,406.0
2024-01-01 19:00:00+00:00,brighton_local_33kv_gt2,23.02,393.96
2024-01-01 19:00:00+00:00,brighton_local_33kv_gt1,24.24,400.04
2024-01-01 19:30:00+00:00,brighton_local_33kv_gt2,22.29,386.41
2024-01-01 19:30:00+00:00,brighton_local_33kv_gt1,23.52,391.78
2024-01-01 20:00:00+00:00,brighton_local_33kv_gt1,22.8,377.33
2024-01-01 20:00:00+00:00,brighton_local_33kv_gt2,21.56,373.96
2024-01-01 20:30:00+00:00,brighton_local_33kv_gt1,22.08,362.54
2024-01-01 20:30:00+00:00,brighton_local_33kv_gt2,20.83,361.19
2024-01-01 21:00:00+00:00,brighton_local_33kv_gt2,20.09,348.41
2024-01-01 21:00:00+00:00,brighton_local_33kv_gt1,21.36,347.74
2024-01-01 21:30:00+00:00,brighton_local_33kv_gt2,19.36,335.63
2024-01-01 21:30:00+00:00,brighton_local_33kv_gt1,20.64,332.97
2024-01-01 22:00:00+00:00,brighton_local_33kv_gt2,18.63,322.85
2024-01-01 22:00:00+00:00,brighton_local_33kv_gt1,19.92,321.11
2024-01-01 22:30:00+00:00,brighton_local_33kv_gt2,17.9,310.07
2024-01-01 22:30:00+00:00,brighton_local_33kv_gt1,19.19,311.24
2024-01-01 23:00:00+00:00,brighton_local_33kv_gt1,18.47,301.37
2024-01-01 23:00:00+00:00,brighton_local_33kv_gt2,17.16,297.29
2024-01-01 23:30:00+00:00,brighton_local_33kv_gt2,16.56,284.57
2024-01-01 23:30:00+00:00,brighton_local_33kv_gt1,17.75,291.49
